municipio,checkInDate,checkOutDate,dislikedText,likedText,reviewDate,numberOfNights,travelerType,rating,startUrl,userName
"Canindé de São Francisco, Sergipe",2025-10-13,2025-10-14,Do restaurante não funcionar,"Da cama alta bem confortável,  meu neto adorou, dormiu tranquilo,  o café bom demais.",2025-10-15T10:50:38.000Z,1,Família,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Sheilamaria
"Canindé de São Francisco, Sergipe",2025-09-27,2025-09-28,,"Super indico 
Muito limpa
Ótimo café 
Funcionários atenciosos e sabem expressar o conhecimento da cidade",2025-10-02T14:41:39.000Z,1,Grupo,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Adson
"Canindé de São Francisco, Sergipe",2025-09-27,2025-09-28,do mau cheiro que saiu logo cedo no banheiro ‍♂️,D tudo,2025-09-29T08:30:13.000Z,1,Casal,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Wellington
"Canindé de São Francisco, Sergipe",2025-08-27,2025-08-29,De nada. Fomos atendidos no que precisamos!,"Foi uma excelente estadia, a pousada tem um café da manhã muito bem servido, os funcionários foram muito simpáticos, nos atendendo no que precisávamos e dando dicas e orientando nos passeios! Gostamos de tudo e o custo benefício compensou muito! Obrigada por nos receber tão bem!",2025-09-07T00:14:57.000Z,2,Casal,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Luciene
"Canindé de São Francisco, Sergipe",2025-07-18,2025-07-21,Nada,Atendimento e localização,2025-07-25T23:56:33.000Z,3,Casal,8,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Jose
"Canindé de São Francisco, Sergipe",2025-07-23,2025-07-25,,"Quarto limpo. Foi nos perguntado se queríamos o quarto com varanda, mas, escolhemos o outro, por ser mais silencioso ante orientação do recepcionista.
Atendimento da recepção foi com atenção.
Café da manhã bem variado.
Localização muito boa. 
Estacionamento fica em frente a pousada, do outro lado da rua.",2025-07-25T21:00:19.000Z,2,Casal,8,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Viajante
"Canindé de São Francisco, Sergipe",2025-07-10,2025-07-13,,Atendimento e hospedagem,2025-07-16T00:33:45.000Z,3,Sozinho,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Maria
"Canindé de São Francisco, Sergipe",2025-06-24,2025-06-30,,Tudo,2025-06-30T23:52:42.000Z,6,Casal,9,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Genival
"Canindé de São Francisco, Sergipe",2025-06-23,2025-06-24,O recepcionista muito mal educado e de mal humor,Tudo tranquilo. O recepcionista muito mal educado e de mal humor,2025-06-25T00:09:56.000Z,1,Casal,8,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Ordônio
"Canindé de São Francisco, Sergipe",2025-06-21,2025-06-22,,"Amei tudo,desde a localização, o quarto perfeito com varanda do jeito q pedi,café da manhã com muita opção 
Os funcionários todos muito solicitos,atendimento excelente",2025-06-24T23:58:49.000Z,1,Casal,10,https://www.booking.com/hotel/br/pousada-santa-cecilia-caninde-de-sao-francisco.pt-br.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaCCIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AuyZ1scGwAIB0gIkMzg0YTI3MmItNTU4MS00ZGFkLTgyMDMtYWViZDBiYmZhNWM32AIB4AIB&sid=fb40e859d5119ca8df05d9592a3da1dc&all_sr_blocks=1228521101_405657199_2_1_0&checkin=2025-10-20&checkout=2025-10-21&dest_id=-634603&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=1228521101_405657199_2_1_0&hpos=2&matching_block_id=1228521101_405657199_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1228521101_405657199_2_1_0__16000&srepoch=1761005918&srpvid=c4cea66c64220317&type=total&ucfs=1&,Oliveira
